,Country,eruption_count
0,Algeria,3
1,Antarctica,19
2,Argentina,34
3,Armenia,3
4,Azerbaijan,2
5,Australia,4
6,Bolivia,7
7,Myanmar,1
8,Cameroon,3
9,Canada,24
10,Cabo Verde,2
11,Chad,4
12,Chile,66
16,China,9
18,Colombia,14
20,Comoros,2
21,Costa Rica,10
22,Congo DRC,4
24,Djibouti,1
25,Dominica,5
26,Ecuador,35
27,El Salvador,19
29,Equatorial Guinea,3
30,Eritrea,5
32,Ethiopia,50
36,Fiji,3
37,France,17
39,Georgia,2
40,Germany,1
41,Greece,4
42,Grenada,2
43,Guatemala,21
45,Honduras,3
46,Iceland,35
47,India,2
48,Indonesia,117
49,Iran,1
50,Italy,13
51,Japan,122
53,Kenya,21
54,Madagascar,5
55,Mexico,38
57,Mongolia,3
58,Netherlands,2
59,New Zealand,24
60,Nicaragua,17
61,Niger,1
62,North Korea,1
63,Norway,2
64,Panama,2
65,Papua New Guinea,46
66,Peru,15
67,Philippines,38
68,Portugal,13
69,Russian Federation,102
70,Saint Kitts and Nevis,2
71,Saint Lucia,1
72,Saint Vincent and the Grenadines,1
73,Samoa,2
74,Saudi Arabia,7
75,Solomon Islands,8
76,South Africa,2
77,South Korea,2
78,Spain,8
79,Sudan,4
80,Syria,1
81,Taiwan,2
82,Tanzania,6
83,Tonga,21
84,Turkiye,7
85,Uganda,7
87,Undersea Features,16
88,United Kingdom,14
89,United States,165
90,Vanuatu,14
91,Vietnam,2
92,Yemen,10
